id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
141,Herne – Bochum II,121841,23164,46578,11882,10623,5029,15383,818,1467,2357,168,582,76,110,0,0,0,124,169,0,34,0,0,109,0,67,11,927,68,0,0,0,226,46,49,106,0,1395,0,273
142,Dortmund I,154874,27797,50117,10746,14550,7566,31867,758,3451,2661,254,680,111,97,0,0,0,84,180,0,74,0,0,144,0,76,36,1206,57,0,0,0,174,40,38,108,0,1445,0,557
143,Dortmund II,142790,27650,51080,11290,13629,6361,21714,839,2426,2943,194,626,79,65,0,0,0,60,191,0,68,0,0,85,0,78,21,1079,65,0,0,0,168,25,37,147,0,1516,0,354
144,Unna I,146936,31995,53490,11428,15286,5154,20022,1088,1740,2562,144,534,72,102,0,0,0,64,193,0,24,0,0,107,0,76,11,1151,89,0,0,0,211,19,45,175,0,823,0,331
145,Hamm – Unna II,167428,40444,59227,15497,16764,5694,19149,1242,1574,2680,238,640,99,82,0,0,0,23,264,0,31,0,0,113,0,81,12,1164,110,0,0,0,267,38,58,159,0,1406,0,372
146,Soest,177829,51697,51061,14206,21005,5520,24089,1176,1724,2260,156,666,118,89,0,0,0,12,246,0,31,0,0,121,0,89,13,2038,159,0,0,0,251,34,73,173,0,495,0,327
147,Hochsauerlandkreis,155494,52017,44640,11532,18712,3989,15473,1583,1983,1943,122,462,99,87,0,0,0,14,181,0,11,0,0,80,0,52,8,1346,69,0,0,0,186,28,37,128,0,380,0,332
148,Siegen-Wittgenstein,160998,42161,50327,14709,18597,5726,17842,1340,2043,2099,166,485,358,103,0,0,0,24,182,0,47,0,0,156,0,68,7,2107,467,0,0,0,198,36,51,134,0,886,0,679
149,Olpe – Märkischer Kreis I,153671,50364,42362,13100,19227,4150,15243,1251,1213,1899,181,511,265,78,0,0,0,26,190,0,60,0,0,87,0,69,12,1676,326,0,0,0,211,27,46,128,0,691,0,278
150,Märkischer Kreis II,142608,40368,42230,13082,17125,4804,14880,1228,1300,2994,185,540,85,75,0,0,0,52,245,0,32,0,0,111,0,68,13,1496,105,0,0,0,222,28,46,154,0,925,0,215
151,Nordsachsen,117757,23000,24732,32066,12476,8868,5462,3346,1333,2311,473,404,240,61,0,0,0,76,598,0,89,0,0,137,0,0,0,1363,88,0,268,0,0,0,0,0,0,196,0,170
152,Leipzig I,166419,24953,34748,25891,17660,20884,25848,2645,3021,3800,303,833,306,242,0,0,0,153,693,0,149,0,0,427,0,0,0,2204,160,0,183,0,0,0,0,0,0,656,0,660
153,Leipzig II,179837,23561,37634,20213,17439,26472,38264,2188,3307,3489,218,881,383,353,0,0,0,197,438,0,177,0,0,402,0,0,0,2564,192,0,159,0,0,0,0,0,0,589,0,717
154,Leipzig-Land,160447,32711,34104,38458,18322,12362,9381,3973,1743,3099,461,496,278,116,0,0,0,87,897,0,115,0,0,175,0,0,0,2403,186,0,328,0,0,0,0,0,0,373,0,379
155,Meißen,147594,25912,26045,43940,17212,10725,8872,4312,1754,2634,566,581,405,108,0,0,0,77,713,0,65,0,0,187,0,0,0,2341,188,0,296,0,0,0,0,0,0,321,0,340
156,Bautzen I,157088,29213,26674,50050,17187,12272,6247,4157,2104,2951,601,542,251,71,0,0,0,69,957,0,96,0,0,171,0,0,0,2296,256,0,273,0,0,0,0,0,0,330,0,320
157,Görlitz,150993,27630,25441,49123,15039,11327,7358,3645,1428,3259,488,540,177,97,0,0,0,106,1045,0,92,0,0,185,0,0,0,2583,456,0,305,0,0,0,0,0,0,331,0,338
158,Sächsische Schweiz-Osterzgebirge,152154,26028,23545,48580,17814,11653,8023,5039,1276,2864,635,618,396,82,0,0,0,66,929,0,85,0,0,247,0,0,0,2945,223,0,283,0,0,0,0,0,0,373,0,450
159,Dresden I,179726,27710,34125,32122,21989,18910,27369,2967,2568,3014,305,1313,760,177,0,0,0,130,815,0,106,0,0,495,0,0,0,2645,359,0,150,0,0,0,0,0,0,769,0,928
160,Dresden II – Bautzen II,188005,26037,30620,36003,22884,20913,31265,3464,3252,3271,307,1709,641,226,0,0,0,150,1099,0,128,0,0,424,0,0,0,3661,256,0,188,0,0,0,0,0,0,607,0,900
161,Mittelsachsen,145992,25603,27000,43821,16897,11687,6822,3206,1366,2860,713,514,549,120,0,0,0,86,774,0,116,0,0,246,0,0,0,2446,281,0,257,0,0,0,0,0,0,292,0,336
162,Chemnitz,139579,20713,32616,30089,15781,15008,12680,1997,2280,2620,252,440,359,320,0,0,0,90,609,0,133,0,0,296,0,0,0,2097,378,0,164,0,0,0,0,0,0,311,0,346
163,Chemnitzer Umland – Erzgebirgskreis II,135982,24662,27518,37181,15117,11166,6138,4477,1664,2527,542,362,381,139,0,0,0,52,581,0,88,0,0,171,0,0,0,1816,708,0,266,0,0,0,0,0,0,266,0,160
164,Erzgebirgskreis I,159635,31340,28848,48794,16210,12078,5194,5079,1650,2966,914,397,256,166,0,0,0,58,673,0,102,0,0,150,0,0,0,1958,1940,0,291,0,0,0,0,0,0,323,0,248
165,Zwickau,145546,27024,30718,36601,15431,13629,7134,4004,1483,3093,400,463,310,104,0,0,0,92,579,0,96,0,0,133,0,0,0,2720,679,0,418,0,0,0,0,0,0,244,0,191
166,Vogtlandkreis,136143,26782,30436,34112,13708,12058,6263,2155,1676,3181,291,340,364,82,0,0,0,73,652,0,88,0,0,157,0,0,0,2048,779,0,459,0,0,0,0,0,0,248,0,191
167,Waldeck,136043,30392,49064,12899,15288,4441,14775,2791,964,1946,159,452,106,83,0,0,0,40,218,0,27,0,0,87,0,0,0,1528,114,0,0,41,0,31,0,0,0,374,0,223
168,Kassel,160829,28183,51812,12141,16448,10518,30348,1824,1673,2346,143,694,175,156,0,0,0,133,215,0,89,0,0,180,0,0,0,1854,217,0,0,48,0,31,0,0,0,1159,0,442
169,Werra-Meißner – Hersfeld-Rotenburg,129026,27867,48579,14899,12807,4524,11595,2734,988,1776,201,343,121,71,0,0,0,35,210,0,24,0,0,81,0,0,0,1344,204,0,0,90,0,22,0,0,0,198,0,313
170,Schwalm-Eder,139171,29913,50100,15047,15422,4411,14089,3440,1209,1996,244,504,126,73,0,0,0,15,251,0,43,0,0,92,0,0,0,1396,233,0,0,48,0,34,0,0,0,270,0,215
171,Marburg,140269,31042,42098,12558,14789,8089,22347,1767,1178,1863,176,453,291,115,0,0,0,23,177,0,61,0,0,133,0,0,0,1828,275,0,0,43,0,32,0,0,0,497,0,434
172,Lahn-Dill,151400,37725,44546,17513,17327,5102,16957,3051,1636,2240,382,449,238,118,0,0,0,17,239,0,74,0,0,119,0,0,0,1946,524,0,0,39,0,39,0,0,0,720,0,399
173,Gießen,159702,36201,44046,14836,17106,8028,26109,3697,1818,2301,235,555,251,177,0,0,0,34,216,0,117,0,0,211,0,0,0,1892,251,0,0,50,0,41,0,0,0,632,0,898
174,Fulda,161704,50312,36343,21443,20528,4447,16324,3136,1326,2007,239,442,189,151,0,0,0,20,231,0,28,0,0,130,0,0,0,2458,468,0,0,71,0,51,0,0,0,399,0,961
175,Main-Kinzig – Wetterau II – Schotten,135037,32685,36943,17079,17046,4308,15009,3435,1255,2579,497,584,137,116,0,0,0,25,263,0,37,0,0,124,0,0,0,1873,146,0,0,60,0,28,0,0,0,356,0,452
176,Hochtaunus,142682,37331,35171,11156,21996,4441,22486,2246,1053,2026,155,739,127,128,0,0,0,12,200,0,32,0,0,148,0,0,0,1880,113,0,0,68,0,47,0,0,0,533,0,594
177,Wetterau I,137257,32419,35909,11680,19043,4905,21917,2812,1153,2255,352,771,145,162,0,0,0,22,230,0,29,0,0,139,0,0,0,1915,114,0,0,50,0,39,0,0,0,637,0,559
178,Rheingau-Taunus – Limburg,170482,44413,43708,14523,23745,5395,25328,3466,1357,2772,195,661,159,178,0,0,0,24,245,0,36,0,0,186,0,0,0,2386,220,0,0,54,0,55,0,0,0,546,0,830
179,Wiesbaden,134866,28523,33546,9588,18947,7128,26818,1411,1049,1651,104,525,139,135,0,0,0,34,152,0,35,0,0,252,0,0,0,1911,112,0,0,34,0,81,0,0,0,1367,0,1324
180,Hanau,129652,29223,35739,13257,17158,4948,18258,2180,1186,2504,236,555,150,140,0,0,0,32,254,0,53,0,0,177,0,0,0,1549,85,0,0,49,0,35,0,0,0,1349,0,535
181,Main-Taunus,156281,42260,34468,10427,26335,4708,26771,2471,1253,2042,116,510,163,135,0,0,0,31,209,0,19,0,0,154,0,0,0,1871,93,0,0,56,0,34,0,0,0,1143,0,1012
182,Frankfurt am Main I,143763,25915,32499,7846,21361,10384,33821,1184,1389,1716,125,645,118,168,0,0,0,72,179,0,97,0,0,210,0,0,0,1597,133,0,0,35,0,39,0,0,0,2496,0,1734
183,Frankfurt am Main II,173651,31660,38777,8188,25530,11901,44370,1512,1565,1754,76,686,128,201,0,0,0,48,190,0,87,0,0,190,0,0,0,1923,134,0,0,36,0,56,0,0,0,1965,0,2674
184,Groß-Gerau,127584,27301,37973,11246,14999,5394,18928,2478,1387,2163,149,545,137,141,0,0,0,81,214,0,92,0,0,175,0,0,0,1462,157,0,0,56,0,39,0,0,0,1998,0,469
185,Offenbach,155814,35754,38799,12098,20625,7787,27062,2336,1380,2242,127,849,128,183,0,0,0,26,225,0,64,0,0,163,0,0,0,2178,96,0,0,47,0,38,0,0,0,2429,0,1178
186,Darmstadt,187028,34472,49273,12194,22256,10764,41948,2139,1984,2626,165,846,302,165,0,0,0,107,226,0,86,0,0,292,0,0,0,2679,351,0,0,63,0,57,0,0,0,1450,0,2583
187,Odenwald,177126,42857,49518,15983,22433,6333,24694,3322,1545,3213,198,727,202,187,0,0,0,57,289,0,131,0,0,155,0,0,0,3171,196,0,0,65,0,56,0,0,0,846,0,948
188,Bergstraße,151443,37064,41124,14377,20432,4629,21457,2723,1221,3029,237,617,151,145,0,0,0,18,258,0,33,0,0,153,0,0,0,2465,176,0,0,63,0,47,0,0,0,533,0,491
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,152678,33662,37282,34296,13695,15166,7176,2826,1668,2049,626,483,478,80,0,0,0,255,0,356,0,0,0,117,0,0,0,1975,0,0,0,0,0,0,0,0,0,210,0,278
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,154221,28249,38363,37737,13258,15872,7469,3882,1649,2226,624,558,307,91,0,0,0,298,0,380,0,0,0,129,0,0,0,2563,0,0,0,0,0,0,0,0,0,227,0,339
191,Jena – Sömmerda – Weimarer Land I,152575,23869,34195,30263,14070,19505,16709,3712,2143,2108,544,859,217,140,0,0,0,271,0,318,0,0,0,238,0,0,0,2349,0,0,0,0,0,0,0,0,0,342,0,723
