id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
219,München-Süd,172371,40585,33117,7910,21495,7669,45562,4724,1299,1711,40,608,1306,197,0,357,0,44,145,0,45,0,0,172,0,165,0,2388,83,0,32,0,0,36,0,0,0,1000,184,1497
220,München-West/Mitte,197625,45540,37513,8403,26401,8219,54303,5036,1403,1796,46,614,1353,234,0,394,0,34,158,0,52,0,0,196,0,187,0,2655,83,0,41,0,0,52,0,0,0,1161,180,1571
221,München-Land,198610,64669,34189,10489,28696,4449,36817,7612,1254,2054,54,659,1332,127,0,719,0,29,173,0,32,0,0,196,0,94,0,2805,87,0,51,0,0,44,0,0,0,808,261,910
222,Rosenheim,190561,59126,27406,16570,23049,4607,25962,18261,1385,1882,95,566,1633,213,0,1737,0,17,198,0,29,0,0,162,0,94,0,6075,129,0,77,0,0,27,0,0,0,488,287,486
223,Bad Tölz-Wolfratshausen – Miesbach,135356,46304,18276,10835,17048,2908,18138,12531,918,1265,67,398,1076,128,0,1197,0,26,129,0,14,0,0,100,0,78,0,2996,49,0,41,0,0,27,0,0,0,323,176,308
224,Starnberg – Landsberg am Lech,180264,57906,28584,11066,23893,4446,32663,9026,1299,1775,81,600,1293,265,0,847,0,12,199,0,24,0,0,128,0,88,0,4505,118,0,36,0,0,42,0,0,0,442,238,688
225,Traunstein,163059,51421,25190,14027,15747,3943,19985,21369,1121,1619,101,413,1417,153,0,1448,0,18,149,0,21,0,0,112,0,85,0,3699,135,0,64,0,0,56,0,0,0,243,258,265
226,Weilheim,137160,48178,19927,10873,14311,3124,18397,11462,905,1316,67,375,1737,120,0,1229,0,15,136,0,48,0,0,83,0,76,0,3717,85,0,61,0,0,27,0,0,0,296,256,339
227,Deggendorf,126644,42154,19873,17911,10778,2301,8516,18206,646,1059,88,333,750,156,0,1516,0,12,90,0,7,0,0,63,0,29,0,1599,48,0,67,0,0,17,0,0,0,175,150,100
228,Landshut,194766,64383,30931,19973,20204,4186,20087,23747,1060,2257,127,559,1425,168,0,1237,0,17,209,0,24,0,0,129,0,95,0,2737,99,0,88,0,0,23,0,0,0,458,253,290
229,Passau,136052,44215,23892,16023,12782,3093,12645,16475,673,1233,116,351,1326,83,0,750,0,10,131,0,16,0,0,134,0,53,0,1485,76,0,50,0,0,18,0,0,0,136,148,138
230,Rottal-Inn,133246,45687,19108,16384,12904,2487,9495,19910,675,1228,98,300,1157,84,0,1044,0,12,115,0,18,0,0,56,0,49,0,1764,47,0,74,0,0,12,0,0,0,183,199,156
231,Straubing,132243,46742,19938,17402,11603,2468,8964,17869,892,1214,160,250,1271,111,0,958,0,6,104,0,15,0,0,70,0,36,0,1397,41,0,97,0,0,25,0,0,0,275,212,123
232,Amberg,172358,60430,31547,17958,15067,4095,16191,16332,991,1938,166,755,1298,128,0,872,0,20,221,0,31,0,0,121,0,89,0,2917,101,0,98,0,0,26,0,0,0,253,438,275
233,Regensburg,198175,61187,34563,17343,18773,6798,32094,16618,1485,1884,101,528,1419,189,0,963,0,21,178,0,47,0,0,196,0,82,0,2526,85,0,54,0,0,51,0,0,0,335,243,412
234,Schwandorf,174145,59430,31209,23508,12650,3394,11179,25114,782,1494,161,368,1034,165,0,877,0,10,174,0,13,0,0,98,0,77,0,1538,91,0,101,0,0,83,0,0,0,161,253,181
235,Weiden,131356,46451,29461,14898,9601,2830,9170,12067,651,1249,128,345,612,94,0,719,0,6,151,0,13,0,0,87,0,65,0,1574,70,0,64,0,0,14,0,0,0,192,696,148
236,Bamberg,148068,49463,25698,14284,14336,4676,21898,9184,1111,1499,127,514,742,149,0,381,0,50,211,0,17,0,0,173,0,70,0,2093,105,0,108,0,0,23,0,0,0,319,262,575
237,Bayreuth,128530,43768,26584,11636,12020,3294,15647,8857,988,1306,101,368,516,120,0,269,0,13,166,0,18,0,0,131,0,71,0,1642,142,0,82,0,0,19,0,0,0,241,210,321
238,Coburg,123160,39343,31087,12836,10683,3118,11459,7524,1144,1509,139,343,673,80,0,188,0,43,167,0,7,0,0,122,0,52,0,1869,109,0,65,0,0,20,0,0,0,256,162,162
239,Hof,124559,41308,30426,14560,10552,3004,9628,7955,1268,1780,172,374,318,80,0,295,0,16,164,0,15,0,0,106,0,63,0,1339,255,0,109,0,0,30,0,0,0,399,228,115
240,Kulmbach,136507,49389,27009,15774,11399,2982,11966,10420,1199,1548,185,429,605,92,0,446,0,27,203,0,16,0,0,82,0,73,0,1718,126,0,124,0,0,32,0,0,0,214,242,207
241,Ansbach,191486,63299,37642,19142,16213,4904,22325,14738,1312,2218,359,1048,1518,197,0,523,0,24,261,0,42,0,0,145,0,101,0,4052,279,0,98,0,0,22,0,0,0,408,367,249
242,Erlangen,154708,44664,30146,10872,16062,5817,31222,7081,1210,1370,102,676,1077,175,0,202,0,31,153,0,14,0,0,220,0,70,0,2084,120,0,61,0,0,19,0,0,0,496,235,529
243,Fürth,196943,58976,42329,17692,18765,6946,29778,9669,1661,2463,180,826,1002,215,0,443,0,43,238,0,62,0,0,291,0,100,0,3369,208,0,129,0,0,27,0,0,0,711,356,464
244,Nürnberg-Nord,144486,34349,30232,8887,14692,8627,34055,3621,1462,1662,78,784,830,192,0,125,0,56,165,0,88,0,0,217,0,119,0,2310,118,0,39,0,0,31,0,0,0,887,204,656
245,Nürnberg-Süd,128713,38663,29195,12901,11495,4893,17687,4433,1018,1846,153,741,710,137,0,185,0,35,189,0,48,0,0,139,0,80,0,2279,127,0,77,0,0,29,0,0,0,1066,234,353
246,Roth,188730,60980,38786,16043,16974,4950,26197,12601,1322,2401,151,1056,866,176,0,376,0,19,264,0,21,0,0,131,0,90,0,3696,191,0,103,0,0,63,0,0,0,541,356,376
247,Aschaffenburg,145720,45739,30232,13716,16199,4068,20642,5718,1138,1917,110,551,805,151,0,413,0,61,210,0,35,0,0,139,0,120,0,2112,74,0,80,0,0,151,0,0,0,608,361,370
248,Bad Kissingen,173105,65063,30540,18434,15211,4820,15874,12639,1416,1862,204,558,777,162,0,476,0,20,263,0,25,0,0,113,0,109,0,3355,143,0,149,0,0,32,0,0,0,206,418,236
249,Main-Spessart,157067,54097,32771,13918,14151,3685,17806,10496,1157,2042,135,487,772,184,0,379,0,31,240,0,24,0,0,98,0,122,0,2895,129,0,116,0,0,96,0,0,0,528,386,322
250,Schweinfurt,156352,54441,30482,15687,15039,4928,17085,9119,1137,1817,155,574,657,183,0,523,0,52,191,0,19,0,0,123,0,106,0,2470,115,0,92,0,0,35,0,0,0,510,503,309
251,Würzburg,184702,55957,37079,12220,19230,7027,35634,6871,1431,2091,115,665,1098,216,0,279,0,27,233,0,39,0,0,307,0,133,0,2310,125,0,64,0,0,41,0,0,0,433,401,676
252,Augsburg-Stadt,152460,38653,29200,13888,16969,6952,28971,6446,1683,1624,90,578,936,479,0,472,0,98,178,0,30,0,0,173,0,91,0,3092,116,0,62,0,0,38,0,0,0,802,250,589
253,Augsburg-Land,203667,67883,33405,19481,22301,4176,26207,16595,1318,2250,143,600,1387,384,0,949,0,46,245,0,43,0,0,160,0,98,0,4239,181,0,81,0,0,41,0,0,0,540,482,432
254,Donau-Ries,156215,54929,25784,17135,15593,2855,14911,14973,891,1488,176,627,868,254,0,648,0,14,184,0,20,0,0,78,0,70,0,3432,121,0,94,0,0,106,0,0,0,262,496,206
255,Neu-Ulm,187714,59028,31900,22293,22019,4410,20764,13772,1274,2716,276,927,1212,193,0,715,0,22,256,0,31,0,0,170,0,89,0,3308,249,0,114,0,0,48,0,0,0,915,487,526
256,Oberallgäu,180741,55017,29910,14350,20953,5043,27393,14970,1371,1959,94,515,1253,306,0,519,0,15,184,0,30,0,0,136,0,104,0,5209,186,0,76,0,0,30,0,0,0,476,285,357
257,Ostallgäu,197643,62635,30914,19779,21561,5007,23712,17985,1416,2086,214,767,1948,307,0,1033,0,22,208,0,25,0,0,163,0,125,0,5832,347,0,100,0,0,31,0,0,0,685,407,334
258,Stuttgart I,156838,31536,31003,6591,26036,8127,44559,1088,1315,1271,32,594,344,0,158,0,0,88,69,0,46,0,0,207,0,0,0,1821,169,127,0,22,0,19,0,0,0,706,0,910
259,Stuttgart II,132696,28403,30198,9541,20273,6739,28221,1206,1216,1368,64,571,293,0,119,0,0,142,97,0,58,0,0,163,0,0,0,1589,153,193,0,35,0,19,0,0,0,1446,0,589
260,Böblingen,194114,50675,39955,16810,35082,5141,32594,3306,1447,1767,150,691,442,0,197,0,0,97,183,0,34,0,0,197,0,0,0,2593,471,246,0,67,0,48,0,0,0,1267,0,654
261,Esslingen,131121,33175,29852,9733,20901,4063,23902,1969,1113,1457,82,395,329,0,91,0,0,95,161,0,21,0,0,186,0,0,0,1928,185,120,0,25,0,29,0,0,0,943,0,366
262,Nürtingen,164570,42826,33995,14327,28807,4357,27702,2704,1442,1898,122,576,384,0,250,0,0,55,182,0,32,0,0,139,0,0,0,2773,467,209,0,63,0,45,0,0,0,890,0,325
263,Göppingen,134423,35079,31422,15412,21723,3338,16916,2525,1176,1660,150,504,293,0,122,0,0,59,161,0,16,0,0,85,0,0,0,2340,158,177,0,55,0,31,0,0,0,685,0,336
264,Waiblingen,174749,44987,37753,15474,30999,5001,27098,2452,1495,1958,121,902,473,0,187,0,0,77,178,0,39,0,0,166,0,0,0,3477,402,201,0,43,0,44,0,0,0,768,0,454
265,Ludwigsburg,170842,42297,37284,14313,27611,5275,31433,2765,1462,1743,120,615,554,0,149,0,0,82,136,0,30,0,0,183,0,0,0,2514,293,241,0,51,0,45,0,0,0,1120,0,526
266,Neckar-Zaber,185436,46315,41369,18702,30783,4851,29048,3248,1719,2054,220,619,592,0,250,0,0,30,223,0,21,0,0,174,0,0,0,3078,384,283,0,57,0,46,0,0,0,809,0,561
267,Heilbronn,181055,43325,40961,23828,29386,5137,23476,3278,2041,2076,314,606,527,0,140,0,0,106,250,0,28,0,0,272,0,0,0,2857,437,217,0,73,0,46,0,0,0,1145,0,529
268,Schwäbisch Hall – Hohenlohe,171230,41947,37272,21787,27850,4980,22734,2941,1672,1977,332,608,716,0,107,0,0,67,242,0,25,0,0,144,0,0,0,4005,650,201,0,61,0,40,0,0,0,419,0,453
269,Backnang – Schwäbisch Gmünd,135424,34991,29341,15979,21397,3927,18579,2026,1485,1646,188,576,338,0,91,0,0,70,178,0,15,0,0,124,0,0,0,3114,370,168,0,42,0,31,0,0,0,477,0,271
270,Aalen – Heidenheim,167245,45852,39468,17937,24562,4538,21226,3610,1469,1770,226,556,439,0,138,0,0,87,210,0,56,0,0,141,0,0,0,3375,274,170,0,43,0,37,0,0,0,644,0,417
271,Karlsruhe-Stadt,158468,27998,33828,10774,20615,8910,44011,1438,1851,1608,71,622,385,0,182,0,0,89,138,0,44,0,0,463,0,0,0,2863,322,101,0,34,0,23,0,0,0,785,0,1313
272,Karlsruhe-Land,166633,42831,38474,15869,24660,4483,26969,3001,1478,2287,143,525,330,0,128,0,0,26,197,0,20,0,0,245,0,0,0,2991,548,198,0,69,0,60,0,0,0,569,0,532
273,Rastatt,153800,41495,36442,16333,21250,4280,21926,3000,1099,2026,144,546,199,0,120,0,0,25,187,0,17,0,0,132,0,0,0,3272,101,170,0,56,0,35,0,0,0,453,0,492
274,Heidelberg,176804,36783,40275,10821,23240,8624,45314,2011,1470,1761,114,486,367,0,161,0,0,65,186,0,43,0,0,379,0,0,0,2466,184,97,0,44,0,33,0,0,0,624,0,1256
275,Mannheim,140967,25682,35651,12846,18515,7066,29814,1871,1471,2178,146,529,241,0,146,0,0,81,216,0,58,0,0,200,0,0,0,1845,146,136,0,50,0,23,0,0,0,1212,0,844
276,Odenwald – Tauber,160494,48866,35578,19208,20943,4084,17748,4701,1563,1911,246,510,590,0,99,0,0,23,260,0,13,0,0,127,0,0,0,2724,270,195,0,60,0,42,0,0,0,345,0,388
277,Rhein-Neckar,152682,38871,35847,15701,21941,4320,24072,2620,1362,2033,244,546,275,0,104,0,0,33,234,0,33,0,0,134,0,0,0,2436,363,142,0,31,0,45,0,0,0,614,0,681
278,Bruchsal – Schwetzingen,150776,38866,34434,17462,21978,4125,20858,3258,1527,2726,193,457,217,0,103,0,0,20,257,0,20,0,0,160,0,0,0,2416,198,202,0,51,0,24,0,0,0,680,0,544
279,Pforzheim,162617,39324,34262,22028,26504,4342,21213,2914,1532,3276,218,561,318,0,115,0,0,62,206,0,18,0,0,177,0,0,0,2428,819,866,0,55,0,52,0,0,0,710,0,617
280,Calw,151588,42841,28571,19473,26770,3656,17301,3076,1155,2232,197,477,451,0,109,0,0,29,189,0,28,0,0,116,0,0,0,2992,795,202,0,48,0,98,0,0,0,529,0,253
281,Freiburg,179873,31296,38183,8854,19145,12429,56861,1821,1719,2092,60,475,571,0,220,0,0,74,145,0,19,0,0,280,0,0,0,3779,281,96,0,35,0,27,0,0,0,610,0,801
282,Lörrach – Müllheim,172569,38501,41834,14195,24669,5532,32817,2784,1698,2479,150,734,357,0,164,0,0,73,228,0,32,0,0,146,0,0,0,4136,592,195,0,60,0,63,0,0,0,676,0,454
283,Emmendingen – Lahr,166572,41323,39727,14971,22136,5209,28724,3146,1514,3122,168,568,676,0,168,0,0,22,181,0,24,0,0,120,0,0,0,3147,332,169,0,64,0,31,0,0,0,477,0,553
284,Offenburg,155200,40210,33043,15320,22799,4423,23083,3729,1465,2290,146,580,288,0,139,0,0,19,221,0,19,0,0,139,0,0,0,5471,173,230,0,62,0,43,0,0,0,867,0,441
285,Rottweil – Tuttlingen,147813,40818,27523,19747,26768,3320,16036,2726,973,1965,221,549,827,0,106,0,0,12,216,0,24,0,0,243,0,0,0,4135,299,188,0,65,0,37,0,0,0,644,0,371
286,Schwarzwald-Baar,121522,32309,25814,13097,19696,3062,16181,2390,843,1602,196,442,276,0,100,0,0,58,189,0,40,0,0,107,0,0,0,3819,292,152,0,51,0,33,0,0,0,416,0,357
287,Konstanz,156400,36209,32657,13341,23509,5804,32913,2204,1643,1928,141,546,463,0,140,0,0,33,141,0,35,0,0,164,0,0,0,3022,221,167,0,45,0,103,0,0,0,401,0,570
288,Waldshut,135022,35595,30782,11265,18422,3895,23294,2534,894,1732,110,471,469,0,113,0,0,34,155,0,17,0,0,102,0,0,0,3634,216,160,0,53,0,28,0,0,0,391,0,656
