id,Thema,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
27,Abrechnung über Fallpauschalen,1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,1,1,-1,-1,0,-1,-1,-1,-1
28,Steuer auf hohe Vermögen,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,-1,1,-1,-1,0,1,-1,1,-1
29,Gesichtserkennung bei Videoüberwachung,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,-1,-1,0,-1,-1,0,-1
30,Ehepaare ohne Kinder,1,1,1,1,-1,0,1,1,1,-1,1,-1,1,-1,1,-1,0,0,1,-1,-1,1,0,0,-1,-1,0,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1
31,Ökologische Landwirtschaft,0,1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,-1,-1,0,1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,1
32,Islamische Verbände,0,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,0,0,0,0,-1,1,0,0,1,1,0,-1,0,-1,-1,-1,-1,1,0,1,1,0,1
33,Anstieg des CO2-Preises,0,-1,-1,0,0,1,-1,1,1,-1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1
34,Schuldenbremse,1,1,1,1,-1,0,1,-1,0,0,1,-1,1,0,1,1,0,0,-1,-1,1,-1,1,0,-1,-1,1,1,1,0,-1,1,1,1,0,0,1,1,-1
35,Asyl nur für politisch Verfolgte,1,1,1,1,-1,-1,1,1,-1,1,-1,0,-1,-1,1,0,-1,0,1,-1,1,-1,-1,0,-1,-1,1,1,1,1,1,1,1,1,-1,-1,0,1,-1
36,Erhöhung des Mindestlohns,0,1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,0,1,1,-1,1,1
37,Besteuerung des Flugverkehrs,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,-1,1,0,0,-1,1,-1,1,-1,-1,-1,-1,1,0,1,1,0,1
38,Homeoffice,1,-1,1,0,-1,-1,1,-1,-1,1,1,-1,-1,0,1,1,-1,0,1,-1,1,1,-1,0,-1,-1,1,1,1,1,1,1,1,-1,-1,1,1,0,1
