id,wahlkreisname,gesamt,SPD,CDU,GRÜNE,FDP,AfD,LINKE,BASIS,FW,HUMANISTEN,PARTEI,GESUNDHEITSFORSCHUNG,TIERSCHUTZPARTEI,PIRATEN,VOLT
66,Cloppenburg-Nord,44261,12056,16512,3689,2958,6107,985,345,268,70,322,140,479,178,152
67,Cloppenburg,40372,9489,17955,3524,1955,5301,801,263,151,61,201,106,316,86,163
68,Vechta,50748,11553,23708,5639,2502,4605,934,218,320,76,308,119,426,144,196
69,Wilhelmshaven,30231,11636,6625,3271,1131,4287,1012,204,657,66,465,122,552,95,108
70,Friesland,50958,20425,11993,5919,2339,5998,1220,673,419,62,525,196,860,189,140
71,Wesermarsch,45436,16988,11561,5811,2331,5038,1168,348,477,76,504,150,679,169,136
72,Ammerland,49642,16410,14515,6885,2824,4996,1216,527,331,74,586,179,687,166,246
73,Bersenbrück,46056,12973,18721,4256,2313,5311,848,297,341,43,282,90,319,104,158
74,Melle,44924,15556,13785,6790,1995,3775,951,527,233,81,336,93,497,121,184
75,Bramsche,42013,15156,12141,5962,1709,4100,989,399,214,79,303,119,510,149,183
76,Georgsmarienhütte,44304,14466,15993,6327,2019,2972,845,415,135,77,262,90,450,120,133
77,Osnabrück-Ost,31312,9810,7130,7704,1326,1970,1430,277,128,92,422,72,473,96,382
78,Osnabrück-West,39864,11582,9154,11085,1992,2246,1567,318,109,107,454,80,554,122,494
79,Grafschaft Bentheim,53031,18009,19668,5658,2590,4250,980,230,239,56,357,156,553,152,133
80,Lingen,53770,14358,23449,6181,2531,4228,1008,225,223,64,590,138,462,129,184
81,Meppen,53727,14238,24158,4889,2565,4897,954,250,250,72,611,129,472,117,125
82,Papenburg,50360,12828,23039,3669,2064,5970,927,286,240,75,459,124,465,119,95
83,Leer,42786,14352,12625,4711,1568,5786,1176,494,559,58,469,137,578,133,140
84,Leer/Borkum,34152,13912,8043,2905,1173,5274,915,564,198,41,309,98,509,116,95
85,Emden/Norden,44895,19466,8912,5031,1678,5721,1547,303,579,74,368,131,837,155,93
86,Aurich,50615,19564,10811,5324,1891,7909,1463,370,1417,80,385,175,917,205,104
87,Wittmund/Inseln,39179,15074,10871,3561,1517,5308,812,390,315,41,261,107,738,129,55
