id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
1,Flensburg – Schleswig,178625,36421,45508,10317,19189,7475,33300,1715,1844,1990,138,,132,194,,,,12,,,40,,,157,,118,,2866,,,,,,73,,,16415,318,,403
2,Nordfriesland – Dithmarschen Nord,144145,35511,37926,8798,18350,4437,22588,1081,1322,1604,146,,121,125,,,,26,,,33,,,130,,59,,1836,,,,,,60,,,9516,239,,237
3,Steinburg – Dithmarschen Süd,135109,32842,37468,11303,18492,4524,19237,1713,1346,1719,190,,105,250,,,,25,,,29,,,118,,77,,1712,,,,,,84,,,3366,283,,226
4,Rendsburg-Eckernförde,160955,38517,43148,10564,19322,5163,28828,1174,1618,1728,158,,122,127,,,,33,,,23,,,136,,69,,2375,,,,,,49,,,7304,244,,253
5,Kiel,155068,23920,40338,7654,16110,9430,44089,954,2185,1676,122,,116,171,,,,39,,,88,,,299,,114,,1924,,,,,,50,,,4486,747,,556
6,Plön – Neumünster,132527,30290,38670,9741,15901,4232,23051,1275,1300,1446,242,,94,98,,,,23,,,34,,,111,,70,,2007,,,,,,94,,,3203,415,,230
7,Pinneberg,190270,42057,55693,13080,25663,6363,34291,1731,1805,2320,188,,202,208,,,,21,,,59,,,182,,127,,2389,,,,,,108,,,2527,799,,457
8,Segeberg – Stormarn-Mitte,198265,44285,56658,14527,27675,6468,33361,2297,2226,2663,225,,194,202,,,,30,,,54,,,186,,119,,2839,,,,,,53,,,3108,586,,509
9,Ostholstein – Stormarn-Nord,141966,35564,42520,10073,17986,4036,22314,1603,1104,1729,198,,102,111,,,,13,,,28,,,88,,65,,1691,,,,,,29,,,2241,182,,289
10,Herzogtum Lauenburg – Stormarn-Süd,195587,45364,56422,14682,27725,6325,32475,2204,1791,2283,261,,217,155,,,,29,,,82,,,160,,105,,2237,,,,,,48,,,1746,829,,447
11,Lübeck,130237,23628,39704,8827,13626,5785,29229,1296,1329,1495,166,,134,122,,,,71,,,46,,,196,,106,,1531,,,,,,67,,,1666,663,,550
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,154163,26383,49271,24185,13242,16604,12419,2476,1252,2645,1112,1023,151,,,,,117,,,121,,,175,,,,2207,,,,,,,,,,399,,381
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,144104,24621,46846,24673,11638,14979,10147,2384,1019,2562,889,624,195,,,,,65,,,109,,,157,,,,2610,,,,,,,,,,332,,254
14,Rostock – Landkreis Rostock II,162977,23103,47280,20658,14852,21491,20941,1871,2036,3935,696,854,274,,,,,152,,,147,,,290,,,,3488,,,,,,,,,,408,,501
15,Vorpommern-Rügen – Vorpommern-Greifswald I,165779,30910,41583,31303,13776,18857,14654,1975,1576,5169,758,797,201,,,,,123,,,152,,,295,,,,2904,,,,,,,,,,392,,354
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,151038,28684,40339,35102,11438,15370,6616,2183,1033,3803,2006,518,123,,,,,89,,,140,,,220,,,,2822,,,,,,,,,,348,,204
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,140798,26402,42049,29421,10609,14434,7179,2455,984,2468,939,443,245,,,,,163,,,85,,,140,,,,2305,,,,,,,,,,267,,210
18,Hamburg-Mitte,178555,19982,51170,9100,18723,15593,49791,974,2494,2486,130,905,370,303,,,,70,,,112,,,275,,398,,2396,,,,77,,50,,,,2019,,1137
19,Hamburg-Altona,152095,22478,38865,5036,16543,13667,46162,524,1593,1405,56,571,246,160,,,,84,,,92,,,129,,228,,2237,,,,55,,24,,,,1054,,886
20,Hamburg-Eimsbüttel,160365,23843,44911,5662,18190,10847,47983,761,1358,1682,53,500,235,139,,,,47,,,100,,,149,,188,,1895,,,,42,,24,,,,850,,906
21,Hamburg-Nord,184691,34387,51575,6811,26247,8741,46531,939,1443,1893,79,606,292,220,,,,48,,,72,,,182,,150,,2535,,,,53,,64,,,,875,,948
22,Hamburg-Wandsbek,172821,29103,59298,11290,19225,8852,32134,1084,1615,2561,169,1048,427,202,,,,49,,,69,,,235,,169,,2481,,,,83,,44,,,,1871,,812
23,Hamburg-Bergedorf – Harburg,157017,25427,52523,12638,15674,9878,27931,1319,1644,2298,161,747,446,195,,,,50,,,87,,,233,,208,,2417,,,,76,,42,,,,2283,,740
24,Aurich – Emden,136194,24066,59038,11173,12113,4671,17668,1769,1130,2220,147,430,82,65,,,,18,,,34,,,86,,86,,1027,,,,,,24,,,,149,,198
25,Unterems,174276,52067,59229,14248,17671,4650,18576,856,1649,2044,161,534,58,97,,,,18,,,28,,,103,,92,,1619,,,,,,31,,,,211,,334
26,Friesland – Wilhelmshaven – Wittmund,132930,28535,50448,10951,13874,4122,17020,1512,1539,2201,125,419,62,92,,,,50,,,21,,,115,,91,,1155,,,,,,34,,,,298,,266
27,Oldenburg – Ammerland,172550,32100,55231,8903,17674,8344,40919,1041,1481,2009,107,795,247,137,,,,29,,,51,,,176,,85,,1729,,,,,,58,,,,428,,1006
28,Delmenhorst – Wesermarsch – Oldenburg-Land,162158,36649,55621,12987,18571,5046,23973,1555,1545,2310,150,598,87,108,,,,23,,,26,,,134,,83,,1698,,,,,,57,,,,590,,347
29,Cuxhaven – Stade II,139716,36586,48858,11000,14052,3672,17553,1535,1145,2405,180,433,87,100,,,,16,,,20,,,90,,79,,1418,,,,,,31,,,,231,,225
30,Stade I – Rotenburg II,150886,39969,48301,11002,16720,4301,22091,1620,1388,1881,175,691,118,107,,,,17,,,28,,,119,,80,,1485,,,,,,42,,,,373,,378
31,Mittelems,179439,60733,55461,9235,21101,3969,22515,723,1521,1592,107,423,97,74,,,,17,,,22,,,132,,90,,1070,,,,,,23,,,,291,,243
32,Cloppenburg – Vechta,163352,62837,40212,12772,19747,3549,18093,792,1093,1579,104,474,80,67,,,,12,,,17,,,104,,92,,1088,,,,,,49,,,,268,,323
33,Diepholz – Nienburg I,145972,36915,48196,10372,17628,3920,21139,1322,1294,1774,123,465,113,98,,,,21,,,12,,,118,,78,,1722,,,,,,39,,,,395,,228
34,Osterholz – Verden,150219,36183,49430,11329,15653,5253,24183,1494,1134,1986,125,443,105,112,,,,34,,,27,,,131,,103,,1661,,,,,,50,,,,440,,343
35,Rotenburg I – Heidekreis,124204,31119,43196,9945,12526,3536,16857,1433,1057,1754,186,444,107,90,,,,14,,,17,,,94,,74,,1192,,,,,,42,,,,180,,341
36,Harburg,160742,39850,46765,11671,20426,4682,26777,2404,1193,2360,138,568,141,113,,,,23,,,23,,,130,,95,,2452,,,,,,151,,,,433,,347
37,Lüchow-Dannenberg – Lüneburg,138106,29032,41262,9145,13241,6328,30585,1161,1489,1681,179,453,147,91,,,,25,,,65,,,119,,94,,2399,,,,,,53,,,,189,,368
38,Osnabrück-Land,150458,42864,48352,10069,16653,3870,22160,824,1090,1397,123,403,88,85,,,,12,,,31,,,89,,65,,1760,,,,,,16,,,,300,,207
39,Stadt Osnabrück,148510,34462,44919,6903,14627,6224,34546,543,1341,1284,80,437,125,76,,,,11,,,52,,,153,,79,,1482,,,,,,25,,,,598,,543
40,Nienburg II – Schaumburg,141792,33968,49553,12434,14213,3842,19968,1335,1211,2078,154,552,72,97,,,,16,,,21,,,108,,79,,1457,,,,,,32,,,,352,,250
41,Stadt Hannover I,127586,23410,39511,7677,13282,5768,30360,691,1161,1400,87,681,103,121,,,,55,,,63,,,180,,72,,1192,,,,,,25,,,,1073,,674
42,Stadt Hannover II,142450,22537,40116,6753,13288,8831,41976,698,1705,1479,59,769,122,189,,,,70,,,89,,,199,,109,,1440,,,,,,20,,,,1070,,931
43,Hannover-Land I,172702,44529,55464,13295,19550,4504,26219,1077,1355,2637,130,692,113,95,,,,36,,,33,,,141,,72,,1564,,,,,,66,,,,802,,328
44,Celle – Uelzen,156830,40993,48332,14423,17990,4680,21882,1578,1454,2169,176,566,128,124,,,,16,,,34,,,99,,75,,1592,,,,,,28,,,,225,,266
45,Gifhorn – Peine,164830,37839,58846,16048,16238,4147,21960,1627,1429,2256,174,642,184,113,,,,28,,,32,,,133,,121,,1942,,,,,,74,,,,582,,415
46,Hameln-Pyrmont – Holzminden,131609,29809,48438,11590,13624,3734,17274,1122,963,1845,152,463,72,95,,,,10,,,23,,,113,,79,,1546,,,,,,30,,,,416,,211
47,Hannover-Land II,179092,40612,62024,13850,18320,4994,29201,1672,1432,2535,169,867,113,125,,,,35,,,36,,,158,,86,,1650,,,,,,40,,,,752,,421
48,Hildesheim,159778,36504,55439,12161,15397,5308,26565,1054,1432,2030,160,793,143,125,,,,32,,,37,,,99,,115,,1628,,,,,,31,,,,416,,309
49,Salzgitter – Wolfenbüttel,145722,33453,53411,14415,13463,4478,18105,1317,1274,2156,240,598,86,100,,,,23,,,19,,,94,,86,,1362,,,,,,39,,,,743,,260
50,Braunschweig,139294,25929,42377,8238,14046,6355,33401,844,1652,1567,101,785,180,280,,,,52,,,33,,,189,,81,,1444,,,,,,53,,,,675,,1012
51,Helmstedt – Wolfsburg,129204,31827,45414,12241,13073,3496,15481,1128,1192,1749,200,529,204,85,,,,26,,,32,,,118,,106,,1520,,,,,,40,,,,381,,362
52,Goslar – Northeim – Osterode,142315,33614,53876,11819,14239,4251,17118,1228,1184,1840,193,439,84,97,,,,23,,,21,,,118,,67,,1505,,,,,,25,,,,325,,249
53,Göttingen,160305,34588,51180,9785,15638,8132,32448,1259,1625,1713,174,569,136,125,,,,46,,,73,,,164,,111,,1570,,,,,,78,,,,379,,512
54,Bremen I,185237,32375,53425,9835,18396,15739,44414,1473,1977,2145,104,,212,246,,,,84,,181,,,,325,,,,2008,,,,,,,,,,1455,,843
55,Bremen II – Bremerhaven,142803,24124,49799,12740,12085,9613,24013,1438,1932,2372,187,,195,269,,,,76,,205,,,,264,,,,1453,,,,,,,,,,1559,,479
56,Prignitz – Ostprignitz-Ruppin – Havelland I,121008,19414,41163,23221,9070,9754,7677,3060,1373,2557,473,479,111,,,,,86,,,74,,,112,,,,1580,,,,,,,,,,151,459,194
57,Uckermark – Barnim I,129246,19818,40543,25748,10422,11617,9095,3131,1517,2830,482,516,233,,,,,60,,,179,,,131,,,,1911,,,,,,,,,,241,576,196
58,Oberhavel – Havelland II,193088,33377,55193,30793,19802,12665,20663,5142,2360,6154,555,1076,373,,,,,77,,,145,,,244,,,,2732,,,,,,,,,,472,761,504
59,Märkisch-Oderland – Barnim II,174498,26254,48712,31820,14939,18004,13954,6101,2393,5360,476,695,345,,,,,78,,,371,,,232,,,,2865,,,,,,,,,,378,1021,500
60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,145579,22274,48423,23845,11934,12019,12211,3853,1716,3599,459,626,270,,,,,82,,,167,,,184,,,,2173,,,,,,,,,,290,1035,419
61,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,188885,26287,50965,18658,20210,19110,35865,3115,2795,4562,239,705,575,,,,,79,,,271,,,368,,,,2977,,,,,,,,,,469,613,1022
62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,191730,31299,54650,34411,18893,14955,16156,5883,2080,6073,550,919,330,,,,,100,,,291,,,248,,,,2743,,,,,,,,,,614,991,544
63,Frankfurt (Oder) – Oder-Spree,140590,19890,41414,28338,12439,13436,9992,3749,1989,3608,574,495,347,,,,,156,,,170,,,158,,,,2420,,,,,,,,,,306,736,373
64,Cottbus – Spree-Neiße,126555,17502,36098,30729,13603,9670,6939,2818,1593,2516,423,392,123,,,,,69,,,218,,,128,,,,2212,,,,,,,,,,276,899,347
65,Elbe-Elster – Oberspreewald-Lausitz II,118464,17776,33412,29849,11114,8532,4920,3657,1383,2564,637,437,128,,,,,55,,,92,,,87,,,,1449,,,,,,,,,,156,2022,194
66,Altmark,107744,22567,29537,20629,9396,10381,5834,3286,725,1100,205,308,58,,,,818,75,,,,,,99,510,91,,1985,,,,,,,,,,,,140
67,Börde – Jerichower Land,146963,32720,39043,29604,13589,12426,7267,2737,1130,1966,372,454,74,,,,1909,118,,,,,,136,831,176,,2182,,,,,,,,,,,,229
68,Harz,137050,30508,37330,24790,12532,12700,7495,2840,934,1736,296,435,78,,,,1480,91,,,,,,129,758,119,,2621,,,,,,,,,,,,178
69,Magdeburg,155384,28700,41022,23446,14673,16449,16352,2060,1737,1464,339,654,192,,,,3135,173,,,,,,282,1898,209,,2021,,,,,,,,,,,,578
70,Dessau – Wittenberg,113969,26740,29843,21630,10402,9635,6531,2543,876,1275,340,423,53,,,,1001,85,,,,,,102,587,100,,1654,,,,,,,,,,,,149
71,Anhalt,137446,29823,33055,31003,12705,14249,5470,2902,905,1922,374,370,56,,,,1437,94,,,,,,138,868,133,,1793,,,,,,,,,,,,149
72,Halle,147224,26282,34686,21914,15150,17180,19915,2349,1611,1830,254,678,197,,,,1455,199,,,,,,283,697,185,,1988,,,,,,,,,,,,371
73,Burgenland – Saalekreis,124579,26535,28460,31000,12785,10630,5002,1629,1006,1507,412,404,83,,,,1184,99,,,,,,121,761,156,,2647,,,,,,,,,,,,158
74,Mansfeld,131581,28411,32109,31476,12792,11680,4835,2163,839,1683,410,341,55,,,,1253,108,,,,,,125,701,133,,2322,,,,,,,,,,,,145
75,Berlin-Mitte,138799,16526,28881,7810,11040,19610,42486,746,2271,2473,78,579,203,111,,,,88,209,,196,811,36,333,,245,42,,,,,,,63,,,,2746,,1216
76,Berlin-Pankow,134342,22455,20245,19426,4932,19157,34836,1087,2947,3866,86,622,241,93,,,,50,290,,330,1355,44,260,,263,46,,,,,,,195,,,,533,,983
77,Berlin-Reinickendorf,111952,29580,25740,12731,10331,5067,17477,1569,1329,3276,96,348,146,78,,,,22,232,,58,1817,21,179,,105,22,,,,,,,67,,,,1216,,445
78,Berlin-Spandau – Charlottenburg Nord,119955,26158,32853,12780,11798,6074,17193,1077,1882,4228,115,480,232,89,,,,48,365,,59,1569,52,217,,168,30,,,,,,,91,,,,1849,,548
79,Berlin-Steglitz-Zehlendorf,169580,39905,40677,10036,20813,8076,38460,1335,1669,3326,55,556,288,115,,,,13,328,,55,1177,48,262,,164,28,,,,,,,95,,,,1010,,1089
80,Berlin-Charlottenburg-Wilmersdorf,131799,29035,28894,7950,13934,8638,35201,788,1476,2101,35,398,157,62,,,,20,105,,79,623,35,243,,123,17,,,,,,,71,,,,893,,921
81,Berlin-Tempelhof-Schöneberg,169338,31751,41215,10921,15633,12706,42791,1449,2009,3736,84,644,310,126,,,,41,325,,117,1377,66,233,,226,36,,,,,,,98,,,,2350,,1094
82,Berlin-Neukölln,131524,22400,31498,10089,9325,15616,29474,961,1973,3226,98,451,169,77,,,,87,275,,120,1135,61,197,,264,34,,,,,,,115,,,,3234,,645
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,149769,11990,26326,7379,7834,27862,55147,650,3672,2754,43,670,201,118,,,,99,198,,262,739,36,337,,348,42,,,,,,,47,,,,1801,,1214
84,Berlin-Treptow-Köpenick,153871,20562,35690,19322,12190,24609,24686,2133,2957,4799,378,596,314,123,,,,92,549,,264,2137,90,351,,218,34,,,,,,,269,,,,726,,782
85,Berlin-Marzahn-Hellersdorf,130849,21887,29991,22665,9372,20755,11207,1301,2108,4990,404,531,140,87,,,,84,709,,298,2434,97,284,,178,48,,,,,,,164,,,,509,,606
86,Berlin-Lichtenberg,141167,16891,32403,17916,9796,25840,21777,1857,2906,4823,294,705,212,99,,,,106,712,,349,2130,79,339,,210,49,,,,,,,126,,,,620,,928
87,Aachen I,139293,31772,30588,5427,15032,7453,40421,531,1632,1151,44,542,224,104,,,,30,72,,42,,,268,,70,22,1342,53,,,,88,25,33,67,,871,,1389
88,Aachen II,169087,49838,53408,12409,17892,5259,19918,1131,1584,2525,189,613,187,86,,,,23,188,,21,,,113,,75,17,1587,43,,,,264,18,52,164,,1012,,471
89,Heinsberg,143971,46466,38822,11359,16023,4529,16858,1375,1929,2334,209,532,87,109,,,,18,210,,10,,,75,,70,14,1602,53,,,,235,30,47,155,,438,,382
90,Düren,152129,46217,44058,13171,17104,4570,16951,1296,1387,2465,179,730,88,84,,,,12,222,,32,,,87,,90,10,1545,162,,,,260,34,54,166,,641,,514
91,Rhein-Erft-Kreis I,193401,55068,54714,13417,24227,5682,27566,1439,1446,2767,167,1237,100,99,,,,27,215,,32,,,147,,93,20,1762,65,,,,471,52,70,183,,1627,,708
92,Euskirchen – Rhein-Erft-Kreis II,191274,58081,50949,14894,23314,5730,26161,1628,1631,2828,150,825,133,132,,,,22,271,,23,,,138,,87,19,2187,95,,,,290,52,72,238,,740,,584
93,Köln I,140080,27695,36933,8363,15040,8267,33501,753,1607,1704,76,548,88,109,,,,64,127,,43,,,152,,116,15,1327,72,,,,173,27,67,105,,1768,,1340
94,Köln II,204333,41834,43193,5891,26470,10399,65240,792,1898,1646,53,558,159,165,,,,31,127,,36,,,182,,104,12,1773,83,,,,110,39,64,102,,1049,,2323
95,Köln III,154402,27485,39901,7876,13845,9903,44407,684,1784,1846,73,466,121,119,,,,72,139,,43,,,135,,140,11,1605,52,,,,142,35,48,109,,1937,,1424
96,Bonn,184444,41551,41641,7750,21902,10026,50174,897,1661,1371,51,611,162,130,,,,57,113,,47,,,196,,68,12,1823,106,,,,118,75,53,77,,1817,,1955
97,Rhein-Sieg-Kreis I,186824,51474,49529,13604,23122,6353,29305,1392,2067,3021,164,804,156,134,,,,19,223,,19,,,153,,87,23,2583,220,,,,278,46,52,154,,921,,921
98,Rhein-Sieg-Kreis II,175421,51795,41753,10551,23435,5687,31027,1303,1530,2215,112,599,166,128,,,,20,196,,11,,,135,,59,10,2111,169,,,,223,78,61,170,,855,,1022
99,Oberbergischer Kreis,158674,44018,42413,15211,19796,5153,19959,1434,1622,2426,153,652,183,89,,,,25,221,,15,,,104,,78,18,2809,699,,,,236,34,110,178,,635,,403
100,Rheinisch-Bergischer Kreis,175896,48224,44429,10051,24373,5222,32285,1697,1419,2199,100,554,115,119,,,,27,208,,22,,,127,,76,9,2247,132,,,,223,34,41,157,,662,,1144
101,Leverkusen – Köln IV,153000,33246,44586,10966,15931,7318,29329,918,2076,2081,123,664,112,139,,,,96,216,,36,,,124,,98,24,1715,100,,,,195,36,57,149,,1669,,996
102,Wuppertal I,145399,30527,42421,12090,15970,8055,25388,964,1674,2159,167,533,97,126,,,,122,152,,58,,,123,,78,30,1733,115,,,,167,27,49,129,,1713,,732
103,Solingen – Remscheid – Wuppertal II,162218,39413,48196,12506,20256,6076,24296,1086,2044,2521,143,624,99,118,,,,80,194,,17,,,174,,56,13,1913,83,,,,260,30,70,168,,1312,,470
104,Mettmann I,158308,43354,42385,10658,21083,4956,25430,1117,1474,2260,130,652,104,119,,,,22,208,,21,,,94,,72,14,1632,98,,,,215,46,77,195,,1321,,571
105,Mettmann II,122892,33254,34409,9104,16235,3887,18112,759,1293,1656,109,613,79,82,,,,59,183,,12,,,85,,58,15,1210,154,,,,138,37,34,152,,851,,312
106,Düsseldorf I,174303,44892,38195,7495,27743,6741,39452,851,1561,1635,84,516,110,145,,,,49,143,,45,,,165,,89,12,1535,42,,,,139,42,52,147,,1315,,1108
107,Düsseldorf II,141432,31639,35671,8503,17335,6931,31524,859,1572,1831,81,517,90,129,,,,66,147,,62,,,141,,77,16,1280,49,,,,143,28,55,139,,1674,,873
108,Neuss I,160966,48166,43760,11298,20333,4771,21951,861,1774,2367,132,607,108,149,,,,29,231,,44,,,125,,72,25,1748,61,,,,234,31,50,166,,1393,,480
109,Mönchengladbach,128405,36555,34877,9641,15459,4927,18166,850,1562,2013,190,467,111,122,,,,24,166,,86,,,109,,74,12,1343,33,,,,211,22,49,119,,907,,310
110,Krefeld I – Neuss II,154594,45635,39407,9342,22069,4680,24014,981,1610,2111,108,580,117,119,,,,44,155,,45,,,103,,65,16,1528,94,,,,201,33,36,147,,975,,379
111,Viersen,173752,52896,46375,10357,22281,5203,25673,1327,2140,2618,140,632,183,120,,,,31,197,,22,,,133,,82,12,1808,93,,,,228,33,54,155,,582,,377
112,Kleve,169767,54793,47837,9632,19542,4728,23587,1488,1438,2386,150,605,115,107,,,,28,224,,17,,,121,,77,15,1628,60,,,,241,28,60,167,,297,,396
113,Wesel I,159497,42544,53277,10994,17302,5103,20629,966,2079,2468,134,515,92,81,,,,65,205,,19,,,84,,73,16,1444,92,,,,226,37,52,162,,629,,209
114,Krefeld II – Wesel II,130616,32316,41476,9189,14899,4703,19539,818,1507,1915,103,506,70,89,,,,78,143,,27,,,113,,71,16,1362,88,,,,189,38,41,119,,969,,232
115,Duisburg I,117594,23166,41308,9802,10593,5580,17912,780,1482,2135,149,487,79,112,,,,148,156,,46,,,128,,79,22,1081,75,,,,158,28,35,142,,1603,,308
116,Duisburg II,97166,18168,35842,11834,7913,4508,10287,674,1235,2022,236,379,56,90,,,,172,164,,41,,,81,,63,15,755,73,,,,186,26,38,128,,1980,,200
117,Oberhausen – Wesel III,144016,30770,53034,13099,13573,5613,17945,847,2199,2473,182,515,100,154,,,,71,201,,28,,,87,,54,20,1064,74,,,,209,22,45,167,,1113,,357
118,Mülheim – Essen I,138589,32698,46084,11135,15188,4494,20232,677,1613,2126,125,450,81,88,,,,72,186,,58,,,98,,56,21,1224,87,,,,184,40,34,120,,1080,,338
119,Essen II,104409,21039,35363,11521,9531,4525,13971,639,1421,1924,132,349,57,74,,,,142,155,,94,,,95,,60,16,840,64,,,,190,32,35,122,,1718,,300
120,Essen III,152063,37053,42629,8398,17995,6117,30764,845,1718,2005,90,443,89,116,,,,64,129,,90,,,137,,61,15,1521,78,,,,151,60,40,99,,852,,504
121,Recklinghausen I,120737,27988,42552,10927,11989,4239,15180,594,1526,1961,152,473,60,80,,,,87,164,,40,,,72,,62,16,966,69,,,,170,33,42,140,,913,,242
122,Recklinghausen II,136738,33610,48563,12522,13571,4084,15627,634,1555,2368,170,548,72,91,,,,81,217,,29,,,79,,56,10,1093,62,,,,207,32,44,117,,1094,,202
123,Gelsenkirchen,111284,22091,41326,14204,9721,3853,11170,723,1245,2572,181,394,51,70,,,,222,176,,28,,,69,,51,13,775,55,,,,184,21,22,128,,1753,,186
124,Steinfurt I – Borken I,155919,52625,44788,8385,17783,4469,20525,937,1354,1510,130,521,84,72,,,,19,137,,15,,,95,,52,15,1050,60,,,,163,23,53,130,,432,,492
125,Bottrop – Recklinghausen III,147623,36814,51637,13899,14647,4484,16434,661,1757,2536,150,526,200,89,,,,78,200,,236,,,85,,76,17,1048,31,,,,232,81,50,152,,1246,,257
126,Borken II,161276,59102,42303,7724,19081,3914,21738,1056,1324,1517,75,486,116,86,,,,22,163,,27,,,78,,69,9,1219,68,,,,176,31,45,140,,396,,311
127,Coesfeld – Steinfurt II,160182,55230,42647,7339,17927,4093,25506,998,1348,1595,121,580,101,79,,,,8,179,,18,,,83,,45,5,1184,51,,,,152,30,42,151,,262,,408
128,Steinfurt III,154532,42528,50555,9253,16113,4723,23996,813,1446,1504,116,482,97,73,,,,29,128,,18,,,94,,34,15,1241,69,,,,166,27,39,112,,460,,401
129,Münster,195456,43790,45844,5603,20786,9746,60036,691,1684,1326,45,479,422,150,,,,12,116,,75,,,205,,93,22,1409,42,,,,138,25,52,79,,774,,1812
130,Warendorf,164622,51722,47648,10533,18193,4525,23309,1014,1553,1729,128,535,200,84,,,,13,179,,31,,,108,,62,13,1518,113,,,,207,33,54,132,,635,,351
131,Gütersloh I,178348,52421,47371,13299,21211,5173,28308,1441,1851,1896,135,613,147,113,,,,21,219,,33,,,97,,78,8,2010,272,,,,263,33,50,157,,750,,378
132,Bielefeld – Gütersloh II,184163,37355,50009,12448,20658,11462,40161,697,2324,1872,120,683,197,117,,,,88,219,,64,,,156,,105,25,2274,336,,,,187,32,77,186,,1591,,720
133,Herford – Minden-Lübbecke II,169056,39769,53359,16144,19884,6038,22732,1352,2003,2181,144,565,72,104,,,,37,149,,33,,,117,,80,15,2226,501,,,,212,37,53,185,,760,,304
134,Minden-Lübbecke I,151572,35814,49351,13892,17486,4857,19762,1378,1743,1838,132,542,102,73,,,,23,171,,24,,,132,,93,13,2050,1050,,,,187,30,45,164,,394,,226
135,Lippe I,170871,39001,53130,16789,20221,6414,23276,1348,1781,2216,170,637,154,96,,,,25,190,,23,,,136,,90,14,2559,1244,,,,231,85,59,173,,520,,289
136,Höxter – Gütersloh III – Lippe II,133088,43265,36253,11533,15488,3762,14717,1024,1367,1553,121,566,186,74,,,,10,172,,8,,,91,,48,6,1636,300,,,,190,34,40,126,,335,,183
137,Paderborn,176982,58419,39089,14360,21877,5858,26981,1137,1925,1863,135,600,134,108,,,,28,191,,26,,,148,,79,22,2195,310,,,,220,37,62,160,,523,,495
138,Hagen – Ennepe-Ruhr-Kreis I,143609,34210,47400,13760,16179,4857,17237,1031,1591,2392,161,573,99,91,,,,76,194,,45,,,110,,57,9,1200,169,,,,235,32,56,162,,1448,,235
139,Ennepe-Ruhr-Kreis II,135700,29855,45664,9654,14432,5029,21941,843,1623,2085,129,804,143,83,,,,105,186,,48,,,96,,65,11,1485,104,,,,180,20,37,140,,660,,278
140,Bochum I,153588,29811,50162,10232,14583,8225,30795,636,1914,2079,205,531,135,121,,,,100,195,,59,,,189,,82,12,1222,90,,,,177,46,39,126,,1303,,519
141,Herne – Bochum II,121841,23164,46578,11882,10623,5029,15383,818,1467,2357,168,582,76,110,,,,124,169,,34,,,109,,67,11,927,68,,,,226,46,49,106,,1395,,273
142,Dortmund I,154874,27797,50117,10746,14550,7566,31867,758,3451,2661,254,680,111,97,,,,84,180,,74,,,144,,76,36,1206,57,,,,174,40,38,108,,1445,,557
143,Dortmund II,142790,27650,51080,11290,13629,6361,21714,839,2426,2943,194,626,79,65,,,,60,191,,68,,,85,,78,21,1079,65,,,,168,25,37,147,,1516,,354
144,Unna I,146936,31995,53490,11428,15286,5154,20022,1088,1740,2562,144,534,72,102,,,,64,193,,24,,,107,,76,11,1151,89,,,,211,19,45,175,,823,,331
145,Hamm – Unna II,167428,40444,59227,15497,16764,5694,19149,1242,1574,2680,238,640,99,82,,,,23,264,,31,,,113,,81,12,1164,110,,,,267,38,58,159,,1406,,372
146,Soest,177829,51697,51061,14206,21005,5520,24089,1176,1724,2260,156,666,118,89,,,,12,246,,31,,,121,,89,13,2038,159,,,,251,34,73,173,,495,,327
147,Hochsauerlandkreis,155494,52017,44640,11532,18712,3989,15473,1583,1983,1943,122,462,99,87,,,,14,181,,11,,,80,,52,8,1346,69,,,,186,28,37,128,,380,,332
148,Siegen-Wittgenstein,160998,42161,50327,14709,18597,5726,17842,1340,2043,2099,166,485,358,103,,,,24,182,,47,,,156,,68,7,2107,467,,,,198,36,51,134,,886,,679
