id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
182,Frankfurt am Main I,143763,25915,32499,7846,21361,10384,33821,1184,1389,1716,125,645,118,168,,,,72,179,,97,,,210,,,,1597,133,,,35,,39,,,,2496,,1734
183,Frankfurt am Main II,173651,31660,38777,8188,25530,11901,44370,1512,1565,1754,76,686,128,201,,,,48,190,,87,,,190,,,,1923,134,,,36,,56,,,,1965,,2674
184,Groß-Gerau,127584,27301,37973,11246,14999,5394,18928,2478,1387,2163,149,545,137,141,,,,81,214,,92,,,175,,,,1462,157,,,56,,39,,,,1998,,469
185,Offenbach,155814,35754,38799,12098,20625,7787,27062,2336,1380,2242,127,849,128,183,,,,26,225,,64,,,163,,,,2178,96,,,47,,38,,,,2429,,1178
186,Darmstadt,187028,34472,49273,12194,22256,10764,41948,2139,1984,2626,165,846,302,165,,,,107,226,,86,,,292,,,,2679,351,,,63,,57,,,,1450,,2583
187,Odenwald,177126,42857,49518,15983,22433,6333,24694,3322,1545,3213,198,727,202,187,,,,57,289,,131,,,155,,,,3171,196,,,65,,56,,,,846,,948
188,Bergstraße,151443,37064,41124,14377,20432,4629,21457,2723,1221,3029,237,617,151,145,,,,18,258,,33,,,153,,,,2465,176,,,63,,47,,,,533,,491
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,152678,33662,37282,34296,13695,15166,7176,2826,1668,2049,626,483,478,80,,,,255,,356,,,,117,,,,1975,,,,,,,,,,210,,278
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,154221,28249,38363,37737,13258,15872,7469,3882,1649,2226,624,558,307,91,,,,298,,380,,,,129,,,,2563,,,,,,,,,,227,,339
191,Jena – Sömmerda – Weimarer Land I,152575,23869,34195,30263,14070,19505,16709,3712,2143,2108,544,859,217,140,,,,271,,318,,,,238,,,,2349,,,,,,,,,,342,,723
192,Gotha – Ilm-Kreis,140648,21820,33437,36522,12126,15454,8100,3810,1791,2168,437,759,162,133,,,,235,,405,,,,173,,,,2351,,,,,,,,,,297,,468
193,Erfurt – Weimar – Weimarer Land II,164998,23580,39378,26803,15504,23055,21831,2162,2650,2777,292,1203,298,196,,,,345,,438,,,,236,,,,3048,,,,,,,,,,465,,737
194,Gera – Greiz – Altenburger Land,166043,27303,36326,46659,16212,18666,7331,2433,1970,2903,537,706,154,147,,,,475,,594,,,,176,,,,2727,,,,,,,,,,355,,369
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,164623,27008,35019,46381,15428,18489,7383,4079,2283,2510,547,645,293,145,,,,338,,493,,,,152,,,,2668,,,,,,,,,,374,,388
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,169125,27923,42446,44572,13990,18486,7221,4247,1859,2232,496,1078,547,120,,,,353,,416,,,,136,,,,2508,,,,,,,,,,231,,264
197,Neuwied,180293,48338,54018,17504,20751,5417,18930,5860,1746,2546,214,701,245,152,99,,,31,,,,,,153,,,,2286,,,,,,70,,,,692,,540
198,Ahrweiler,147087,41942,42303,11322,17484,3851,17685,4908,1208,2021,145,673,331,124,107,,,26,,,,,,116,,,,1613,,,,,,62,,,,609,,557
199,Koblenz,145903,37958,42817,10426,16371,4804,21007,4928,1401,1818,99,725,319,156,118,,,26,,,,,,137,,,,1497,,,,,,56,,,,598,,642
200,Mosel/Rhein-Hunsrück,133262,38664,38015,11061,16664,3725,12230,5820,1099,1845,124,506,374,123,89,,,19,,,,,,95,,,,1770,,,,,,51,,,,237,,751
201,Kreuznach,136658,33433,44259,13510,15704,4454,12903,4616,1182,2054,178,497,537,112,92,,,30,,,,,,115,,,,1930,,,,,,105,,,,339,,608
202,Bitburg,123054,37086,34343,8794,13997,3265,11411,8460,1038,1473,107,364,356,70,77,,,12,,,,,,80,,,,1434,,,,,,44,,,,234,,409
203,Trier,145631,34578,44123,9001,16206,5712,22708,5379,1507,2003,114,538,363,144,116,,,30,,,,,,179,,,,1678,,,,,,50,,,,343,,859
204,Montabaur,162711,43125,49346,14565,19021,4690,16832,6432,1657,2424,193,588,223,139,104,,,24,,,,,,138,,,,2100,,,,,,67,,,,539,,504
205,Mainz,201288,42659,53889,10833,23178,9418,46183,3605,1600,2025,109,970,1029,219,171,,,38,,,,,,320,,,,1979,,,,,,67,,,,1255,,1741
206,Worms,164822,37548,49656,17033,20095,5068,20799,4749,1214,2612,264,890,456,167,109,,,35,,,,,,186,,,,2302,,,,,,86,,,,627,,926
207,Ludwigshafen/Frankenthal,153258,33726,45895,18075,18421,4651,18128,4789,1308,2771,253,658,226,164,152,,,68,,,,,,160,,,,1689,,,,,,102,,,,1275,,747
208,Neustadt – Speyer,172322,41322,47121,17499,21823,4880,23949,6380,1232,2576,177,577,324,182,152,,,26,,,,,,178,,,,2413,,,,,,62,,,,512,,937
209,Kaiserslautern,167464,33226,54460,20702,17242,6383,17611,8042,1641,3168,298,695,253,142,121,,,36,,,,,,171,,,,2055,,,,,,101,,,,432,,685
210,Pirmasens,130723,33507,38261,17178,14374,4207,9877,4935,1496,3325,286,489,154,114,107,,,30,,,,,,105,,,,1584,,,,,,48,,,,221,,425
211,Südpfalz,169676,39421,47028,17702,21120,5598,22882,5493,1515,3098,218,659,471,194,182,,,38,,,,,,151,,,,2389,,,,,,73,,,,665,,779
212,Altötting,128760,44060,18309,13940,13298,2769,12248,14857,872,1396,103,389,1302,106,,881,,19,165,,15,,,94,,53,,3003,55,,50,,,24,,,,334,222,196
213,Erding – Ebersberg,167603,55992,25693,12228,20228,3648,24620,13865,1279,1900,82,534,1342,161,,1350,,22,173,,21,,,151,,112,,2857,92,,59,,,30,,,,481,271,412
214,Freising,193119,62930,29085,17515,21738,4456,26055,18779,1385,1881,108,554,1449,296,,1068,,19,218,,20,,,185,,88,,3388,86,,106,,,51,,,,781,335,543
215,Fürstenfeldbruck,191852,63944,31141,13209,23046,4192,30537,12325,1274,2388,91,683,1359,203,,795,,16,230,,13,,,178,,103,,4102,90,,72,,,44,,,,631,323,863
216,Ingolstadt,186539,64577,31592,18694,19797,4450,20833,15580,1295,1652,129,533,1231,165,,1111,,31,216,,30,,,142,,86,,2890,98,,77,,,31,,,,643,294,362
217,München-Nord,174902,39986,33241,8250,25953,7044,44861,4396,1157,1504,30,488,1143,184,,409,,35,141,,36,,,218,,139,,2216,60,,28,,,50,,,,1603,175,1555
218,München-Ost,193271,49286,36106,8978,27112,7080,47647,5052,1248,1762,45,654,1289,169,,473,,35,148,,35,,,201,,121,,2450,100,,33,,,32,,,,1724,239,1252
219,München-Süd,172371,40585,33117,7910,21495,7669,45562,4724,1299,1711,40,608,1306,197,,357,,44,145,,45,,,172,,165,,2388,83,,32,,,36,,,,1000,184,1497
220,München-West/Mitte,197625,45540,37513,8403,26401,8219,54303,5036,1403,1796,46,614,1353,234,,394,,34,158,,52,,,196,,187,,2655,83,,41,,,52,,,,1161,180,1571
221,München-Land,198610,64669,34189,10489,28696,4449,36817,7612,1254,2054,54,659,1332,127,,719,,29,173,,32,,,196,,94,,2805,87,,51,,,44,,,,808,261,910
222,Rosenheim,190561,59126,27406,16570,23049,4607,25962,18261,1385,1882,95,566,1633,213,,1737,,17,198,,29,,,162,,94,,6075,129,,77,,,27,,,,488,287,486
223,Bad Tölz-Wolfratshausen – Miesbach,135356,46304,18276,10835,17048,2908,18138,12531,918,1265,67,398,1076,128,,1197,,26,129,,14,,,100,,78,,2996,49,,41,,,27,,,,323,176,308
224,Starnberg – Landsberg am Lech,180264,57906,28584,11066,23893,4446,32663,9026,1299,1775,81,600,1293,265,,847,,12,199,,24,,,128,,88,,4505,118,,36,,,42,,,,442,238,688
225,Traunstein,163059,51421,25190,14027,15747,3943,19985,21369,1121,1619,101,413,1417,153,,1448,,18,149,,21,,,112,,85,,3699,135,,64,,,56,,,,243,258,265
226,Weilheim,137160,48178,19927,10873,14311,3124,18397,11462,905,1316,67,375,1737,120,,1229,,15,136,,48,,,83,,76,,3717,85,,61,,,27,,,,296,256,339
227,Deggendorf,126644,42154,19873,17911,10778,2301,8516,18206,646,1059,88,333,750,156,,1516,,12,90,,7,,,63,,29,,1599,48,,67,,,17,,,,175,150,100
228,Landshut,194766,64383,30931,19973,20204,4186,20087,23747,1060,2257,127,559,1425,168,,1237,,17,209,,24,,,129,,95,,2737,99,,88,,,23,,,,458,253,290
229,Passau,136052,44215,23892,16023,12782,3093,12645,16475,673,1233,116,351,1326,83,,750,,10,131,,16,,,134,,53,,1485,76,,50,,,18,,,,136,148,138
230,Rottal-Inn,133246,45687,19108,16384,12904,2487,9495,19910,675,1228,98,300,1157,84,,1044,,12,115,,18,,,56,,49,,1764,47,,74,,,12,,,,183,199,156
231,Straubing,132243,46742,19938,17402,11603,2468,8964,17869,892,1214,160,250,1271,111,,958,,6,104,,15,,,70,,36,,1397,41,,97,,,25,,,,275,212,123
232,Amberg,172358,60430,31547,17958,15067,4095,16191,16332,991,1938,166,755,1298,128,,872,,20,221,,31,,,121,,89,,2917,101,,98,,,26,,,,253,438,275
233,Regensburg,198175,61187,34563,17343,18773,6798,32094,16618,1485,1884,101,528,1419,189,,963,,21,178,,47,,,196,,82,,2526,85,,54,,,51,,,,335,243,412
234,Schwandorf,174145,59430,31209,23508,12650,3394,11179,25114,782,1494,161,368,1034,165,,877,,10,174,,13,,,98,,77,,1538,91,,101,,,83,,,,161,253,181
235,Weiden,131356,46451,29461,14898,9601,2830,9170,12067,651,1249,128,345,612,94,,719,,6,151,,13,,,87,,65,,1574,70,,64,,,14,,,,192,696,148
236,Bamberg,148068,49463,25698,14284,14336,4676,21898,9184,1111,1499,127,514,742,149,,381,,50,211,,17,,,173,,70,,2093,105,,108,,,23,,,,319,262,575
237,Bayreuth,128530,43768,26584,11636,12020,3294,15647,8857,988,1306,101,368,516,120,,269,,13,166,,18,,,131,,71,,1642,142,,82,,,19,,,,241,210,321
238,Coburg,123160,39343,31087,12836,10683,3118,11459,7524,1144,1509,139,343,673,80,,188,,43,167,,7,,,122,,52,,1869,109,,65,,,20,,,,256,162,162
239,Hof,124559,41308,30426,14560,10552,3004,9628,7955,1268,1780,172,374,318,80,,295,,16,164,,15,,,106,,63,,1339,255,,109,,,30,,,,399,228,115
240,Kulmbach,136507,49389,27009,15774,11399,2982,11966,10420,1199,1548,185,429,605,92,,446,,27,203,,16,,,82,,73,,1718,126,,124,,,32,,,,214,242,207
241,Ansbach,191486,63299,37642,19142,16213,4904,22325,14738,1312,2218,359,1048,1518,197,,523,,24,261,,42,,,145,,101,,4052,279,,98,,,22,,,,408,367,249
242,Erlangen,154708,44664,30146,10872,16062,5817,31222,7081,1210,1370,102,676,1077,175,,202,,31,153,,14,,,220,,70,,2084,120,,61,,,19,,,,496,235,529
243,Fürth,196943,58976,42329,17692,18765,6946,29778,9669,1661,2463,180,826,1002,215,,443,,43,238,,62,,,291,,100,,3369,208,,129,,,27,,,,711,356,464
244,Nürnberg-Nord,144486,34349,30232,8887,14692,8627,34055,3621,1462,1662,78,784,830,192,,125,,56,165,,88,,,217,,119,,2310,118,,39,,,31,,,,887,204,656
245,Nürnberg-Süd,128713,38663,29195,12901,11495,4893,17687,4433,1018,1846,153,741,710,137,,185,,35,189,,48,,,139,,80,,2279,127,,77,,,29,,,,1066,234,353
246,Roth,188730,60980,38786,16043,16974,4950,26197,12601,1322,2401,151,1056,866,176,,376,,19,264,,21,,,131,,90,,3696,191,,103,,,63,,,,541,356,376
247,Aschaffenburg,145720,45739,30232,13716,16199,4068,20642,5718,1138,1917,110,551,805,151,,413,,61,210,,35,,,139,,120,,2112,74,,80,,,151,,,,608,361,370
248,Bad Kissingen,173105,65063,30540,18434,15211,4820,15874,12639,1416,1862,204,558,777,162,,476,,20,263,,25,,,113,,109,,3355,143,,149,,,32,,,,206,418,236
249,Main-Spessart,157067,54097,32771,13918,14151,3685,17806,10496,1157,2042,135,487,772,184,,379,,31,240,,24,,,98,,122,,2895,129,,116,,,96,,,,528,386,322
250,Schweinfurt,156352,54441,30482,15687,15039,4928,17085,9119,1137,1817,155,574,657,183,,523,,52,191,,19,,,123,,106,,2470,115,,92,,,35,,,,510,503,309
